0,0,0,0,0,0,0,0
8.5,77.9,37.7,–1.6,2.3,–10.0,232,11
9.5,77.9,37.7,–1.6,2.3,–10.0,240.7,8.8
10.5,77.9,37.7,–1.5,2.3,–9.4,247.6,6.5
11.5,78,37.6,–1.4,2.2,–8.3,249.1,10.7
12.5,78.1,37.6,–1.3,2.2,–7.2,251.2,13.5
13.5,78.3,37.1,–1.0,1.3,–3.4,252.6,7.6
14.5,78.6,36.6,–0.7,0.3,0.4,253.2,5.6
15.5,78.3,36.3,–0.9,0.2,0.1,253.8,6.5
16.5,77.5,36.2,–1.8,0.8,–4.1,251.6,7.1
17.5,76.7,36.1,–2.6,1.4,–8.4,247.3,5.2
18.5,76.6,36.4,–1.7,0.8,–7.4,241.9,8.1
19.5,76.5,36.7,–0.9,0.2,–6.5,233.6,4.6
20.5,76.2,37,–0.3,0,–6.0,227.4,5.5
21.5,75.7,37.5,0.1,0.3,–6.0,224,5.3
22.5,75.1,38,0.5,0.5,–6.0,223.2,5.4
23.5,76.1,38.3,0.4,0.4,–6.0,227.3,7
24.5,77,38.6,0.4,0.4,–6.0,226.2,6
25.5,77.7,38.3,0.3,0.2,–6.0,226.4,8.4
26.5,78,37.6,0.3,–0.1,–6.0,223.6,9.5
27.5,78.3,36.9,0.3,–0.3,–6.0,218.9,12
28.5,79.3,35.7,0.1,–0.3,–6.0,218.8,9.9
29.5,80.2,34.5,–0.1,–0.3,–6.0,223.5,10.6
30.5,81.6,33,–0.1,–0.3,–6.0,225.8,10.1
31.5,83.5,31.3,0,–0.2,–6.0,223.2,11.6
32.5,85.3,29.6,0.2,–0.2,–6.0,224.7,32.1
33.5,85.6,30.9,0.2,0,–5.7,237.4,7.8
34.5,85.9,32.2,0.3,0.1,–5.4,231.5,22.1
35.5,86,32.9,0.3,0.2,–5.2,238,32
36.5,86,32.9,0.3,0.2,–5.2,240.1,38.2
1000.0,0,0,0,0,0,240,0
